job-id,query-cardinality,query-vocabulary,pollution,surfaced-set,offered-set,used-set
invoke-1785460187893-426-75c10560,4,1,0.0,5,5,1
invoke-1785460226070-427-f3121940,4,1,0.0,0,0,0
invoke-1785460769842-429-2af10f6f,4,1,0.0,0,0,0
invoke-1785461350312-430-5aef83b6,4,1,0.0,0,0,0
invoke-1785461534541-431-5f427010,4,1,0.0,0,0,0
invoke-1785461874423-432-37a69345,4,1,0.0,0,0,0
invoke-1785462112357-433-c99706dc,4,1,0.0,0,0,0
invoke-1785462313418-434-9497082a,4,1,0.0,0,0,0
invoke-1785462553373-435-1b895195,4,1,0.0,0,0,0
invoke-1785463015054-436-acf510c5,4,1,0.0,5,5,0
invoke-1785463217420-437-12ef7c36,4,1,0.0,5,5,0
invoke-1785463663991-440-ea2ea5fc,4,1,0.0,0,0,0
invoke-1785464073951-441-1c05a75c,4,1,0.0,5,5,2
invoke-1785464465577-442-69142f39,4,1,0.0,0,0,0
invoke-1785464687922-443-547dd835,4,1,0.0,5,5,1
invoke-1785464878040-444-a90570f7,4,1,0.0,0,0,0
invoke-1785465172267-445-440fdc02,4,1,0.0,5,5,2
invoke-1785465399678-446-4d291d8d,4,1,0.0,0,0,0
invoke-1785465608922-448-d51857ac,4,1,0.0,5,5,2
invoke-1785465797993-450-70aab929,4,1,0.0,0,0,0
invoke-1785466155603-451-cdc46268,4,1,0.0,4,4,0
invoke-1785466192851-452-00601468,4,1,0.0,0,0,0
invoke-1785466628626-454-565f7c03,4,1,0.0,0,0,0
invoke-1785467054646-455-b8371b8f,4,1,0.0,5,5,0
invoke-1785467251012-456-8f559ca2,4,1,0.0,0,0,0
invoke-1785467951316-458-5d59ebbb,4,1,0.0,0,0,0
invoke-1785468063277-459-e1c0bf0f,4,1,0.0,5,5,0
invoke-1785468249753-460-8e64039c,4,1,0.0,5,5,3
invoke-1785468518124-461-33b542ab,4,1,0.25,0,0,0
invoke-1785468746313-462-5b96c0e2,4,1,0.0,0,0,
invoke-1785468999028-463-2354633d,4,1,0.25,5,5,3
invoke-1785469190846-464-39b04a8f,4,1,0.0,5,5,2
invoke-1785469395748-465-6aecc20a,4,1,0.0,0,0,0
invoke-1785469706584-466-fa740d18,4,1,0.0,5,5,
invoke-1785469907154-467-a2928a5f,4,1,0.0,5,5,
invoke-1785470457961-468-ad547147,4,1,0.0,5,5,
invoke-1785470492377-469-c4cbe680,4,1,0.0,5,5,
invoke-1785470932932-470-3e7d3fbd,4,1,0.0,0,0,
invoke-1785471377736-471-acbcd206,4,1,0.25,5,5,
invoke-1785471544624-472-308f6c1d,4,1,0.0,0,0,
invoke-1785471894052-473-80a5fb14,4,1,0.0,0,0,
invoke-1785473298737-474-6e1af56a,4,1,0.0,5,5,
